,ts_code,name,fullname,market,publisher,index_type,category,base_date,base_point,list_date,weight_rule,desc,exp_date
17,000019.SH,治理指数,上证公司治理指数,SSE,中证公司,中证主题指数,主题指数,20070629,1000.0,20080102,其他,上证公司治理指数是以上证公司治理板块的股票作为样本股编制而成的指数。,
18,000020.SH,中型综指,上证中型企业综合指数,SSE,中证公司,中证综合指数,综合指数,20071228,1000.0,20080512,其他,上证中型综指由上海证券交易所上市A股股票中按照总股本、总资产与营业收入等指标划分为中型企业的全部股票组成，目标是全面反映在上海证券市场中型上市公司的整体表现。,
19,000021.SH,180治理,上证180公司治理指数,SSE,中证公司,中证主题指数,主题指数,20070629,1000.0,20080910,其他,上证180公司治理指数从上证180指数与上证公司治理指数样本股中挑选100只规模大、流动性好的股票组成样本股，以反映上证180指数中治理状况良好公司股票的走势，同时为投资者提供新的投资标的。,
20,000022.SH,上证公司债,上证公司债指数,SSE,上交所,上证债券指数,债券指数,20071231,100.0,20081119,其他,上证公司债指数是首只综合反映上海证券交易所市场公司债券整体价格变动趋势的指数。该指数的样本是由在沪市交易的公司债券组成，为债券投资者提供新的业绩评价基准和分析工具。,
21,000023.SH,沪分离债,上证分离债指数,SSE,上交所,上证债券指数,债券指数,20071231,100.0,20081119,其他,"概要：上证分离债指数是首只综合反映上海证券交易所市场分离交易可转换债券整体价格变动趋势的指数。该指数的样本是由在沪市交易的分离交易可转换债券组成，上证所和中证指数公司每日实时计算并向市场发布，为债券投资者提供新的业绩评价基准和分析工具。基期及基点：2007.12.31 ＝100指数计算：以样本债券的发行量为权数，采用派许加权综合价格指数公式计算。公式为：报告期指数=[(报告期样本债券的总市值+报告期债券利息及再投资收益)/基期]*基期指数其中,总市值 = ∑(全价×发行量)  全价=净价+应计利息报告期债券利息及在投资收益表示将当月付息样本债券利息收入再投资于指数本身所得收益。样本选择标准：在上海证券交易所深圳证券交易所上市的公司债。债券的信用级别在投资级以上。债券币种为人民币。债券剩余期限在一年以上。附息方式：固定利率付息和一次还本付息。样本调整原则：新债计入：符合基本条件的债券自上市第二个交易日期记入指数。不合格券剔除：每月最后一个交易日，将不合格债券(剩余期限不到一年或信用级别投资级以下)剔除。",20150828
22,000025.SH,180基建,上证180基建指数,SSE,中证公司,中证主题指数,主题指数,20020628,1000.0,20081215,自由流通股本,上证180基建指数从上证180指数中挑选拥有、管理基础设施和从事基础设施建设的公司股票组成样本股，以反映上海证券市场基建类股票的整体走势，同时为投资者提供新的投资标的指数。,
23,000026.SH,180资源,上证180资源指数,SSE,中证公司,中证主题指数,主题指数,20020628,1000.0,20081215,自由流通股本,上证180资源指数从市值180指数中挑选拥有、开发和开采自然资源的公司股票组成样本股，以反映上海证券市场自然资源类股票的整体走势，同时为投资者提供新的投资标的指数。,
24,000027.SH,180运输,上证180交通运输指数,SSE,中证公司,中证主题指数,主题指数,20020628,1000.0,20081215,自由流通股本,上证180交通运输指数样本股由上证180指数中拥有、管理交通运输设施和提供运输服务的公司股票组成，以反映上海证券市场交通运输类股票的整体走势，同时为投资者提供新的投资标的指数。,
25,000028.SH,180成长,上证180成长指数,SSE,中证公司,中证风格指数,成长指数,20020628,1000.0,20090109,其他,上证180成长指数以上证180指数为样本空间，从中选取成长因子评分最高的60只股票作为样本股。,
26,000029.SH,180价值,上证180价值指数,SSE,中证公司,中证风格指数,价值指数,20020628,1000.0,20090109,其他,上证180价值指数以上证180指数为样本空间，从中选取价值因子评分最高的60只股票作为样本股。,
27,000030.SH,180R成长,上证180相对成长指数,SSE,中证公司,中证风格指数,成长指数,20020628,1000.0,20090109,其他,上证180相对成长指数以上证180指数为样本空间，在加权方法中纳入风格因子。,
28,000031.SH,180R价值,上证180相对价值指数,SSE,中证公司,中证风格指数,价值指数,20020628,1000.0,20090109,其他,上证180相对价值指数以上证180指数为样本空间，在加权方法中纳入风格因子。,
29,000032.SH,上证能源,上证能源行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证能源指数选择上海证券市场能源行业股票组成，以反映该行业公司股票的整体表现。,
30,000033.SH,上证材料,上证原材料行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证材料指数选择上海证券市场原材料行业股票组成，以反映该行业公司股票的整体表现。,
31,000034.SH,上证工业,上证工业行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证工业指数选择上海证券市场工业行业股票组成，以反映该行业公司股票的整体表现。,
32,000035.SH,上证可选,上证可选消费行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证可选指数选择上海证券市场可选消费行业股票组成，以反映该行业公司股票的整体表现。,
33,000036.SH,上证消费,上证主要消费行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证消费指数选择上海证券市场主要消费行业股票组成，以反映该行业公司股票的整体表现。,
34,000037.SH,上证医药,上证医药卫生行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证医药指数选择上海证券市场医药卫生行业股票组成，以反映该行业公司股票的整体表现。,
35,000038.SH,上证金融,上证金融地产行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证金融指数选择上海证券市场金融地产行业股票组成，以反映该行业公司股票的整体表现。,
36,000039.SH,上证信息,上证信息技术行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证信息指数选择上海证券市场信息技术行业股票组成，以反映该行业公司股票的整体表现。,
37,000040.SH,上证电信,上证电信业务行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证电信指数选择上海证券市场电信业务行业股票组成，以反映该行业公司股票的整体表现。,
38,000041.SH,上证公用,上证公用事业行业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20090109,其他,上证公用指数选择上海证券市场公用事业行业股票组成，以反映该行业公司股票的整体表现。,
39,000042.SH,上证央企,上证中央企业50指数,SSE,中证公司,中证主题指数,主题指数,20081231,1000.0,20090330,其他,上证中央企业50指数由沪市上市的具备一定规模和流动性的50家中央企业控股上市公司组成，以综合反映沪市中央企业控股上市股票的整体表现。,
40,000043.SH,超大盘,上证超级大盘指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20090423,其他,上证超级大盘指数由在上海证券交易所上市的具备一定规模和流动性的20家超大型上市公司组成，以综合反映上海证券交易所超级大型上市公司股票的整体表现。,
41,000044.SH,上证中盘,上证中盘指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20090703,其他,上证中盘指数由上证180指数成份股中剔除上证50指数成份股后的130只股票组成，综合反映沪市中盘公司的股票价格表现。,
42,000045.SH,上证小盘,上证小盘指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20090703,其他,上证小盘指数由沪市A股中剔除上证180指数成份股后，总市值、成交金额综合排名靠前的320只股票组成，综合反映沪市小盘公司的股票价格表现。,
43,000046.SH,上证中小,上证中小盘指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20090703,其他,上证中小盘指数是由上证中盘指数和上证小盘指数成份股构成，以综合反映沪市中小盘公司的整体状况。,
44,000047.SH,上证全指,上证全指,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20090703,其他,上证全指是由上证180和上证小盘指数成份股构成，以综合反映沪市大中小盘公司的整体状况。,
45,000048.SH,责任指数,上证社会责任指数,SSE,中证公司,中证主题指数,主题指数,20090630,1000.0,20090805,其他,上证社会责任指数是以上证公司治理板块中在社会责任的履行方面表现良好的公司股票作为样本股编制而成的指数。,
46,000049.SH,上证民企,上证民营企业50指数,SSE,中证公司,中证主题指数,主题指数,20090630,1000.0,20090825,其他,上证民营企业50指数挑选上海市场规模大、流动性好、具有代表性的50家民营上市公司股票为样本，刻画了沪市大型民营上市公司股票的整体表现。,
47,000050.SH,50等权,上证50等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20110104,其他,上证50等权重指数与上证50指数拥有相同的成份股，并采用等权重加权。,
48,000051.SH,180等权,上证180等权重指数,SSE,中证公司,中证策略指数,策略指数,20020628,3299.06,20110524,其他,上证180指数由沪市A股中规模大、流动性好的180只股票组成，反映上海证券市场一批蓝筹公司的股票价格表现。,
49,000052.SH,50基本,上证50基本面加权指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20120109,其他,上证50基本面加权指数，是在不改变上证50指数指数样本股的前提下，用以财务指标衡量的基本面价值来分配样本股的权重，在一定程度上打破了样本市值与其权重之间的关联，以避免过多配置高估股票的现象。,
50,000053.SH,180基本,上证180基本面加权指数,SSE,中证公司,中证策略指数,策略指数,20020628,3299.06,20120109,其他,上证180基本面加权指数，是在不改变上证180指数指数样本股的前提下，用以财务指标衡量的基本面价值来分配样本股的权重，在一定程度上打破了样本市值与其权重之间的关联，以避免过多配置高估股票的现象。,
51,000054.SH,上证海外,上证海外上市A股指数,SSE,中证公司,中证主题指数,主题指数,20061229,1000.0,20100104,其他,上证海外上市A股指数从上海证券交易所上市的证券中挑选同时在上海证券交易所以及大陆以外交易所上市的上市证券组成样本，以反映上海证券市场上含有海外上市股份的证券的整体走势。,
52,000055.SH,上证地企,上证地方国有企业50指数,SSE,中证公司,中证主题指数,主题指数,20090630,1000.0,20100104,其他,上证地方国有企业50指数挑选上海市场规模大、流动性好、具有代表性的50家地方国有企业上市公司股票为样本，以刻画沪市大型地方国有企业上市公司股票的整体表现。,
53,000056.SH,上证国企,上证国有企业100指数,SSE,中证公司,中证主题指数,主题指数,20090630,1000.0,20100104,其他,上证国有企业100指数由上证地方国有企业50指数和上证中央企业50指数组合而成，以全面刻画沪市大型国有企业上市公司股票的整体表现。,
54,000057.SH,全指成长,上证全指成长指数,SSE,中证公司,中证风格指数,成长指数,20031231,1000.0,20100104,其他,上证全指成长指数以上证全指为样本空间，从中选取成长因子评分最高的150只股票作为样本股。,
55,000058.SH,全指价值,上证全指价值指数,SSE,中证公司,中证风格指数,价值指数,20031231,1000.0,20100104,其他,上证全指价值指数以上证全指为样本空间，从中选取价值因子评分最高的150只股票作为样本股。,
56,000059.SH,全R成长,上证全指相对成长指数,SSE,中证公司,中证风格指数,成长指数,20031231,1000.0,20100104,其他,上证全指相对成长指数以上证全指数为样本空间，在加权方法中纳入风格因子。,
57,000060.SH,全R价值,上证全指相对价值指数,SSE,中证公司,中证风格指数,价值指数,20031231,1000.0,20100104,其他,上证全指相对价值指数以上证全指数为样本空间，在加权方法中纳入风格因子。,
58,000061.SH,上证企债30,上证企债30指数,SSE,上交所,上证债券指数,债券指数,20081231,100.0,20100104,其他,上证企债30指数是国内首只实时成份债券指数，该指数从上海证券交易所市场挑选30只评级高、规模大、流动性强的企业债券组成样本。,
59,000062.SH,上证沪企,上证沪企指数,SSE,中证公司,中证主题指数,主题指数,20051231,1000.0,20100104,其他,上证沪企指数由在上海证券交所上市且注册地在上海的规模大、流动好，最具代表性的50家公司组成，以综合反映上海本地股的市场走势。,
60,000063.SH,上证周期,上证周期行业50指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100203,其他,上证周期行业50指数从上证全指样本股中分别挑选规模大、流动性好、具有周期行业特征的50只公司股票组成样本股，以反映上海证券市场中具有周期行业特征的股票走势。,
61,000064.SH,非周期,上证非周期行业100指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100203,其他,上证非周期行业100指数从上证全指样本股中分别挑选规模大、流动性好、具有非周期行业特征的100只公司股票组成样本股，以反映上海证券市场中具有非周期行业特征的股票走势。,
62,000065.SH,上证龙头,上证龙头企业指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100209,其他,上证龙头企业指数由沪市A股各二级行业中规模大、市场占有率高的龙头公司股票组成，用以反映沪市A股各行业龙头公司股票的整体表现。,
63,000066.SH,上证商品,上证大宗商品股票指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100430,其他,上证大宗商品股票指数由沪市A股中规模大、流动性好的大宗商品生产类公司股票组成，用以反映沪市A股中大宗商品类股票的整体表现。,
64,000067.SH,上证新兴,上证新兴产业指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100430,其他,上证新兴产业指数选择沪市中规模大、流动性好的50家新兴产业公司组成，以综合反映沪市新兴产业公司的整体表现。,
65,000068.SH,上证资源,上证自然资源指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100528,其他,上证自然资源指数由沪市A股中规模大、流动性好的50只资源类公司股票组成，用以反映沪市A股中资源类股票的整体表现。,
66,000069.SH,消费80,上证消费80指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20100528,其他,上证消费80指数由沪市A股中规模大、流动性好的80只主要消费、可选消费和医药卫生类公司股票组成，用以反映沪市A股中消费类类股票的整体表现。,
67,000070.SH,能源等权,上证能源行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证能源行业分层等权重指数与上证能源行业指数选样方法相同，但在加权方式上，上证能源行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
68,000071.SH,材料等权,上证原材料行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证原材料行业分层等权重指数与上证原材料行业指数选样方法相同，但在加权方式上，上证原材料行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
69,000072.SH,工业等权,上证工业行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证工业行业分层等权重指数与上证工业行业指数选样方法相同，但在加权方式上，上证工业行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
70,000073.SH,可选等权,上证可选消费行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证可选消费行业分层等权重指数与上证可选消费行业指数选样方法相同，但在加权方式上，上证可选消费行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
71,000074.SH,消费等权,上证主要消费行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证主要消费行业分层等权重指数与上证主要消费行业指数选样方法相同，但在加权方式上，上证主要消费行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
72,000075.SH,医药等权,上证医药卫生行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证医药卫生行业分层等权重指数与上证医药卫生行业指数选样方法相同，但在加权方式上，上证医药卫生行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
73,000076.SH,金融等权,上证金融地产行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证金融地产行业分层等权重指数与上证金融地产行业指数选样方法相同，但在加权方式上，上证金融地产行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
74,000077.SH,信息等权,上证信息技术行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证信息技术行业分层等权重指数与上证信息技术行业指数选样方法相同，但在加权方式上，上证信息技术行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
75,000078.SH,电信等权,上证电信业务行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证电信业务行业分层等权重指数与上证电信业务行业指数选样方法相同，但在加权方式上，上证电信业务行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
76,000079.SH,公用等权,上证公用事业行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20100818,其他,上证公用事业行业分层等权重指数与上证公用事业行业指数选样方法相同，但在加权方式上，上证公用事业行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。,
77,000090.SH,上证流通,上证流通指数,SSE,中证公司,中证综合指数,综合指数,20091231,1000.0,20101202,其他,上证流通指数的样本由全部沪市A股组成，未完成股权分置改革、暂停上市的A股除外，可以表征沪市自由流通股份的股价变化。,
78,000091.SH,沪财中小,上证财富中小盘指数,SSE,中证公司,中证定制指数,主题指数,20041231,1000.0,20110406,其他,上证财富中小盘指数旨在沪市中小市值股票中，挑选财富增长速度最快的200家公司作为样本，并且样本股的权重配置与其财富增长速度的大小相适应。,
79,000092.SH,资源50,上证资源50指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110510,其他,上证资源50指数由沪市A股中规模大、流动性好的50只资源类公司股票组成，用以反映沪市A股中资源类股票的整体表现。,
80,000093.SH,180分层,上证180行业分层等权重指数,SSE,中证公司,中证策略指数,策略指数,20020628,3299.06,20110524,其他,上证180指数由沪市A股中规模大、流动性好的180只股票组成，反映上海证券市场一批蓝筹公司的股票价格表现。,
81,000094.SH,上证上游,上证上游产业指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110510,其他,上证上游产业指数从上证全指指数样本股中选取石油、天然气与消费用燃料、铝、黄金、多种金属与采矿等上游行业的股票组成样本股。,
82,000095.SH,上证中游,上证中游产业指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110510,其他,上证中游产业指数从上证全指指数样本股中选取商品化工、钢铁、工业机械、通信设备等中游行业的股票组成样本股。,
83,000096.SH,上证下游,上证下游产业指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110510,其他,上证下游产业指数从上证全指指数样本股中选取汽车、消费者服务、耐用消费品及服装、食品饮料、医疗保健、电信服务等下游行业的股票组成样本股。,
84,000097.SH,高端装备,上证高端装备制造60指数,SSE,中证公司,中证主题指数,主题指数,20041231,1000.0,20110524,其他,上证高端装备制造60指数由在上海证券交易所上市的60只高端装备制造业股票组成样本股，采取等权重加权计算，旨在反映沪市高端装备制造业公司股票的整体表现。,
85,000098.SH,上证F200,上证基本面200指数,SSE,中证公司,中证策略指数,策略指数,20041231,1000.0,20110701,其他,上证基本面200指数以沪市A股为样本空间，挑选基本面价值最大的200家上市公司作为样本，基本面价值由四个财务指标来衡量：营业收入、现金流、净资产和分红；样本股的权重配置由基本面价值决定，在一定程度上打破了样本市值与其权重之间的关联，以避免过多配置高估股票的现象。,
86,000099.SH,上证F300,上证基本面300指数,SSE,中证公司,中证策略指数,策略指数,20041231,1000.0,20110701,其他,上证基本面300指数以沪市A股为样本空间，挑选基本面价值中间的第201至第500家上市公司作为样本，基本面价值由四个财务指标来衡量：营业收入、现金流、净资产和分红；样本股的权重配置由基本面价值决定，在一定程度上打破了样本市值与其权重之间的关联，以避免过多配置高估股票的现象。,
87,000100.SH,上证F500,上证基本面500指数,SSE,中证公司,中证策略指数,策略指数,20041231,1000.0,20110701,其他,上证基本面500指数以沪市A股为样本空间，挑选基本面价值最大的500家上市公司作为样本，基本面价值由四个财务指标来衡量：营业收入、现金流、净资产和分红；样本股的权重配置由基本面价值决定，在一定程度上打破了样本市值与其权重之间的关联，以避免过多配置高估股票的现象。,
88,000101.SH,上证5年信用,上证5年期信用债指数,SSE,上交所,上证债券指数,债券指数,20071231,100.0,20130401,其他,上证5年期信用债指数的样本由上海证券交易所市场剩余期限介于4至7年之间、主体信用等级AA级及以上、发行量8亿元及以上的信用债券组成。,
89,000102.SH,沪投资品,上证投资品指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110613,其他,上证投资品指数是从上证全指样本股的投资品主题股票中挑选规模大、流动性好的50只股票组成样本股，以反映沪市投资品主题股票的整体走势。,
90,000103.SH,沪消费品,上证消费品指数,SSE,中证公司,中证主题指数,主题指数,20031231,1000.0,20110613,其他,上证消费品指数是从上证全指样本股的消费品主题股票中挑选规模大、流动性好的50只股票组成样本股，以反映沪市消费品主题股票的整体走势。,
91,000104.SH,380能源,上证380能源指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380能源指数选择上证380指数中能源行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
92,000105.SH,380材料,上证380原材料指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380原材料指数选择上证380指数中原材料行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
93,000106.SH,380工业,上证380工业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380工业指数选择上证380指数中工业行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
94,000107.SH,380可选,上证380可选消费指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380可选指数选择上证380指数中可选消费行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
95,000108.SH,380消费,上证380主要消费指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380消费指数选择上证380指数中主要消费行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
96,000109.SH,380医药,上证380医药卫生指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380医药指数选择上证380指数中医药卫生行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
97,000110.SH,380金融,上证380金融地产指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380金融指数选择上证380指数中金融地产行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
98,000111.SH,380信息,上证380信息技术指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380信息指数选择上证380指数中信息技术行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
99,000112.SH,380电信,上证380电信业务指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380电信指数选择上证380指数中电信业务行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
100,000113.SH,380公用,上证380公用事业指数,SSE,中证公司,中证行业指数,一级行业指数,20031231,1000.0,20110613,其他,上证380公用指数选择上证380指数中公用事业行业中规模大、流动性好的股票组成样本股，以反映该行业公司股票的整体表现。,
101,000114.SH,持续产业,上证可持续发展产业主题指数,SSE,中证公司,中证主题指数,主题指数,20110630,1000.0,20110822,其他,上证可持续发展产业主题指数是由可持续发展相关产业中规模大、流动性好的40只公司股票组成样本股，用以反映可持续发展产业股票的走势。,
102,000115.SH,380等权,上证380等权重指数,SSE,中证公司,中证策略指数,策略指数,20031231,1000.0,20110812,其他,上证380等权重指数与上证380指数拥有相同的成份股，采用等权重加权。,
103,000116.SH,上证信用100,上证信用债100指数,SSE,上交所,上证债券指数,债券指数,20071231,100.0,20130226,其他,上证信用债100指数的样本由上海证券交易所市场剩余期限1年以上、信用等级AA及以上、发行量8亿元及以上的信用债券组成。,
104,000117.SH,380成长,上证380成长指数,SSE,中证公司,中证风格指数,成长指数,20031231,1000.0,20111018,其他,上证380成长指数以上证380指数为样本空间，从中选取成长因子评分最高的120只股票作为样本股。,
105,000118.SH,380价值,上证380价值指数,SSE,中证公司,中证风格指数,价值指数,20031231,1000.0,20111018,其他,上证380价值指数以上证380指数为样本空间，从中选取价值因子评分最高的120只股票作为样本股。,
106,000119.SH,380R成长,上证380相对成长指数,SSE,中证公司,中证风格指数,成长指数,20031231,1000.0,20111018,其他,上证380相对成长指数以上证380指数为样本空间，在加权方法中纳入风格因子。,
107,000120.SH,380R价值,上证380相对价值指数,SSE,中证公司,中证风格指数,价值指数,20031231,1000.0,20111018,其他,上证380相对价值指数以上证380指数为样本空间，在加权方法中纳入风格因子。,
